N	Time(s)	OB_avg	OB_max	OB_min
1	0.000000	0.00	0	0
11	0.000001	51.13	55	40
21	0.000003	202.24	210	165
31	0.000007	448.96	465	399
41	0.000011	801.34	820	715
51	0.000016	1246.69	1275	1170
61	0.000022	1791.39	1830	1620
71	0.000029	2432.80	2485	2314
81	0.000033	3187.90	3240	2987
91	0.000038	4034.59	4095	3795
101	0.000173	4982.56	5050	4819
111	0.000039	6024.66	6105	5640
121	0.000042	7175.61	7260	6882
131	0.000047	8409.43	8515	8050
141	0.000049	9766.63	9870	9309
151	0.000052	11206.57	11324	10730
161	0.000056	12752.78	12880	12177
171	0.000059	14377.74	14534	13794
181	0.000063	16166.23	16290	15587
191	0.000068	17990.62	18145	16969
201	0.000071	19928.42	20094	19154
211	0.000077	21987.12	22155	21335
221	0.000082	24120.13	24310	23364
231	0.000089	26398.26	26565	25619
241	0.000096	28728.21	28920	27792
251	0.000103	31153.77	31375	30150
261	0.000111	33710.83	33929	32705
271	0.000120	36323.55	36585	35409
281	0.000127	39086.88	39340	37570
291	0.000135	41988.32	42194	41415
301	0.000144	44860.08	45150	43610
311	0.000153	47956.33	48204	46552
321	0.000163	51088.23	51360	50184
331	0.000172	54346.76	54615	52962
341	0.000182	57633.20	57969	56259
351	0.000192	61116.72	61425	59772
361	0.000202	64618.85	64974	63440
371	0.000214	68320.55	68635	66682
381	0.000226	72070.42	72390	70310
391	0.000239	75847.53	76245	74649
401	0.000247	79859.13	80199	78489
411	0.000258	83926.94	84252	82110
421	0.000270	88072.94	88407	86925
431	0.000282	92314.50	92664	91069
441	0.000295	96658.17	97020	95004
451	0.000308	101049.21	101474	99395
461	0.000320	105653.38	106029	102025
471	0.000363	110295.28	110685	109089
481	0.000347	115015.62	115440	113229
491	0.000361	119931.69	120295	118699
501	0.000375	124866.31	125249	123420
511	0.000391	129940.89	130305	128765
521	0.000416	134974.00	135454	132300
531	0.000426	140248.47	140714	138504
541	0.000437	145577.05	146067	143442
551	0.000490	151065.88	151522	147955
561	0.000511	156615.32	157079	154665
571	0.000492	162253.48	162729	159080
581	0.000513	167941.43	168489	165564
591	0.000546	173796.64	174345	171495
601	0.000572	179738.51	180299	177374
611	0.000559	185891.16	186352	184644
621	0.000574	191899.48	192507	188415
631	0.000589	198247.03	198764	196280
641	0.000601	204642.46	205110	202564
651	0.000617	211005.63	211554	209019
661	0.000635	217509.25	218130	214035
671	0.000655	224259.04	224785	222507
681	0.000676	230914.84	231540	229194
691	0.000691	237784.83	238394	234825
701	0.000744	244748.02	245349	242794
711	0.000731	251681.96	252405	249084
721	0.000751	258994.20	259559	256479
731	0.000787	266149.36	266814	263655
741	0.000817	273542.86	274170	270075
751	0.000814	280898.60	281624	278622
761	0.000833	288477.20	289179	285694
771	0.000889	295963.90	296832	292464
781	0.000876	303936.44	304589	300312
791	0.000901	311696.75	312445	309285
801	0.000919	319674.38	320400	316830
811	0.000946	327797.03	328445	324885
821	0.000967	336011.00	336607	333040
831	0.001013	344027.33	344855	340014
841	0.001012	352479.61	353219	349392
851	0.001055	360794.71	361669	356922
861	0.001096	369206.81	370209	365477
871	0.001117	378052.52	378875	374514
881	0.001106	386781.92	387640	382984
891	0.001171	395610.56	396485	390500
901	0.001155	404607.31	405450	401172
911	0.001178	413595.11	414499	409849
921	0.001204	422761.52	423650	418710
931	0.001229	432146.67	432915	428544
941	0.001287	441354.61	442269	433885
951	0.001325	450785.89	451724	448239
961	0.001309	460310.22	461259	457959
971	0.001336	470098.88	470932	466182
981	0.001401	479618.07	480690	475437
991	0.001389	489654.05	490542	485495
