N         Time(s)           OB_avg          OB_max       OB_min
100       0.00005162        4893.84         4950         4625            
110       0.00002862        5921.08         5995         5617            
120       0.00011732        7047.48         7140         6510            
130       0.00003790        8289.08         8385         7857            
140       0.00004045        9626.53         9730         9295            
150       0.00004427        11054.37        11175        10545           
160       0.00004987        12620.06        12719        12125           
170       0.00005608        14230.24        14365        13770           
180       0.00006192        15975.55        16110        15120           
190       0.00006870        17792.96        17955        17214           
200       0.00007509        19746.01        19900        19120           
210       0.00008266        21790.68        21945        21279           
220       0.00008996        23944.16        24090        23460           
230       0.00009811        26137.59        26334        25345           
240       0.00010672        28456.78        28679        27504           
250       0.00011529        30936.87        31124        30090           
260       0.00012273        33435.64        33670        32542           
270       0.00013230        36106.89        36315        35090           
280       0.00014179        38819.33        39060        38157           
290       0.00015215        41675.31        41902        40075           
300       0.00016222        44613.57        44849        43419           
310       0.00017164        47615.38        47892        45815           
320       0.00018178        50811.51        51040        49959           
330       0.00019366        54007.34        54282        53060           
340       0.00020520        57319.38        57630        56034           
350       0.00021721        60804.95        61072        59479           
360       0.00022966        64293.77        64620        62342           
370       0.00024231        67991.80        68262        67319           
380       0.00025551        71731.20        72004        70525           
390       0.00026786        75552.26        75855        74529           
400       0.00028122        79438.82        79800        77970           
410       0.00029700        83537.11        83845        82467           
420       0.00030895        87616.05        87990        85712           
430       0.00032367        91876.91        92232        90639           
440       0.00033818        96229.08        96570        94750           
450       0.00035312        100666.15       101025       98880           
460       0.00040606        105156.90       105570       103224          
470       0.00038571        109807.57       110209       107800          
480       0.00040118        114486.83       114954       112815          
490       0.00041682        119358.00       119795       117527          
500       0.00043366        124334.33       124750       122472          
510       0.00045042        129315.36       129795       128199          
520       0.00046820        134546.67       134937       132987          
530       0.00048750        139639.89       140185       137104          
540       0.00050765        145076.77       145529       142370          
550       0.00052256        150502.62       150975       148764          
560       0.00054173        155917.63       156520       153199          
570       0.00056088        161512.22       162165       159609          
580       0.00059461        167471.26       167907       166080          
590       0.00060064        173331.14       173755       170905          
600       0.00062073        179146.67       179699       176460          
610       0.00063958        185319.22       185745       183665          
620       0.00065987        191322.47       191890       189115          
630       0.00068134        197464.23       198132       193575          
640       0.00070492        203911.12       204479       199430          
650       0.00072572        210198.74       210922       207685          
660       0.00074759        216908.48       217470       213465          
670       0.00080598        223578.30       224112       220794          
680       0.00080197        230351.84       230859       228010          
690       0.00082084        237132.94       237705       234930          
700       0.00084011        244135.16       244644       241875          
710       0.00086293        251003.43       251692       248692          
720       0.00088781        258352.52       258834       256355          
730       0.00091440        265440.17       266082       263310          
740       0.00097107        272708.18       273427       270027          
750       0.00096488        280329.94       280875       277872          
760       0.00099019        287665.69       288419       285017          
770       0.00101475        295540.44       296062       292324          
780       0.00104085        303135.54       303809       298659          
790       0.00107381        310851.92       311654       307284          
800       0.00113290        318881.40       319597       315859          
810       0.00112690        327041.52       327639       324944          
820       0.00115130        334987.66       335789       331419          
830       0.00117916        343246.91       344035       341032          
840       0.00120895        351636.18       352370       348285          
850       0.00125982        359965.41       360810       356997          
860       0.00126346        368604.54       369364       365715          
870       0.00129624        377311.93       378014       374612          
880       0.00133060        386011.40       386757       383910          
890       0.00135284        394769.42       395605       390454          
900       0.00138955        403840.28       404550       399797          
910       0.00141802        412865.48       413594       409409          
920       0.00144907        421931.37       422737       418735          
930       0.00148156        431123.82       431979       428157          
940       0.00152211        440443.47       441329       436770          
950       0.00155293        449758.15       450769       444105          
960       0.00157994        459391.29       460305       455370          
970       0.00161071        469150.66       469965       465594          
980       0.00164172        478849.45       479710       474957          
990       0.00167914        488699.41       489549       484302          
1000      0.00171831        498551.67       499494       494247          
1010      0.00174957        508566.90       509542       504189          
1020      0.00178304        518923.73       519690       515595          
1030      0.00181751        529100.32       529920       523607          
1040      0.00185074        539324.70       540265       535624          
1050      0.00188836        549742.91       550722       547322          
1060      0.00192556        560237.17       561255       554010          
1070      0.00195984        571017.20       571900       566455          
1080      0.00199589        581725.15       582659       577809          
1090      0.00203421        592494.36       593499       586719          
1100      0.00207492        603422.52       604449       597069          
1110      0.00211693        614346.72       615467       609500          
1120      0.00215572        625661.96       626630       622080          
1130      0.00219160        637016.88       637885       633607          
1140      0.00222784        648146.15       649220       643559          
1150      0.00227009        659537.21       660674       655625          
1160      0.00231044        671120.95       672219       666760          
1170      0.00234711        682893.23       683859       679494          
1180      0.00238689        694468.25       695604       690150          
1190      0.00243374        706304.55       707445       701127          
1200      0.00247980        718466.98       719385       714744          
1210      0.00252060        730408.20       731439       726885          
1220      0.00255985        742346.22       743580       735205          
1230      0.00261962        754597.34       755834       749394          
1240      0.00264938        767179.63       768180       762185          
1250      0.00268862        779510.11       780622       775575          
1260      0.00273305        791807.00       793142       785420          
1270      0.00277674        804669.41       805812       801810          
1280      0.00282123        817310.90       818560       812889          
1290      0.00286267        830459.41       831404       827835          
1300      0.00290609        843158.80       844344       837795          
1310      0.00296090        856251.89       857389       852142          
1320      0.00300092        869301.10       870525       866075          
1330      0.00305035        882812.31       883770       879414          
1340      0.00310725        895787.69       897127       890227          
1350      0.00314071        909072.01       910574       904470          
1360      0.00319672        922949.30       924117       916860          
1370      0.00324316        936494.09       937764       931660          
1380      0.00328407        950325.58       951504       944724          
1390      0.00333711        964058.86       965354       960405          
1400      0.00339172        978129.29       979300       974929          
1410      0.00343510        991919.41       993344       986085          
1420      0.00349097        1006279.09      1007480      1001274         
1430      0.00354013        1020289.80      1021720      1012282         
1440      0.00358869        1034773.72      1036077      1029525         
1450      0.00365258        1049171.65      1050489      1043970         
1460      0.00377863        1063722.35      1065049      1057320         
1470      0.00380179        1078473.84      1079715      1074359         
1480      0.00383013        1092995.77      1094460      1088895         
1490      0.00439316        1108042.51      1109260      1102165         
1500      0.00416749        1123071.49      1124247      1118145         
