N         Time(s)           OB_avg          OB_max       OB_min
100       0.00001398        2590.64         2934         2237            
110       0.00001716        3102.11         3589         2678            
120       0.00001777        3691.00         4234         3163            
130       0.00001996        4322.00         5111         3837            
140       0.00002271        4980.91         5546         4202            
150       0.00002628        5705.56         6361         5130            
160       0.00011329        6480.68         7337         5611            
170       0.00002729        7353.47         8372         6532            
180       0.00002750        8215.97         9721         7230            
190       0.00003015        9152.07         10302        7727            
200       0.00003170        10103.93        11059        8947            
210       0.00003405        11123.82        12254        9785            
220       0.00003672        12180.72        13839        10771           
230       0.00003768        13389.22        14850        11895           
240       0.00004046        14616.75        16111        12920           
250       0.00004358        15820.54        17408        14293           
260       0.00004552        17057.05        18747        15239           
270       0.00004852        18436.68        20499        16348           
280       0.00005203        19848.93        21982        17705           
290       0.00005401        21196.53        23331        18684           
300       0.00005850        22837.07        24848        21164           
310       0.00006154        24011.27        25570        21313           
320       0.00006566        25773.24        28676        23777           
330       0.00007000        27531.17        29854        24949           
340       0.00007405        29095.24        32143        26525           
350       0.00007849        30896.69        34155        28321           
360       0.00008263        32658.29        34834        30411           
370       0.00008722        34428.42        37706        31015           
380       0.00009176        36294.32        39852        32841           
390       0.00009681        38292.55        41626        35214           
400       0.00010160        40170.69        42624        36877           
410       0.00010671        42483.86        45843        38417           
420       0.00011161        44358.44        47117        40756           
430       0.00011730        46692.19        50581        42517           
440       0.00012304        48744.20        52375        45894           
450       0.00012832        50852.99        54335        47053           
460       0.00013358        53116.25        57383        49074           
470       0.00014008        55775.80        60680        50852           
480       0.00014737        58259.01        63195        53530           
490       0.00015311        60387.70        64840        54389           
500       0.00015723        62694.83        67460        58885           
510       0.00016439        65308.32        70502        60453           
520       0.00017065        68035.90        73878        61225           
530       0.00017661        70447.29        74616        65382           
540       0.00018330        73214.68        77581        68948           
550       0.00018944        75960.33        79946        71523           
560       0.00019599        78646.72        84863        73652           
570       0.00020363        81648.12        86857        75852           
580       0.00021003        84225.89        89817        77933           
590       0.00021769        87608.20        93500        80389           
600       0.00022386        90212.02        96317        82340           
610       0.00023184        93353.53        103274       86660           
620       0.00024035        96508.28        103515       92073           
630       0.00028642        99501.10        108144       92906           
640       0.00025616        102710.35       108352       96194           
650       0.00026341        106185.15       112206       98941           
660       0.00027425        109087.45       115147       103454          
670       0.00027996        112979.25       120060       107199          
680       0.00028880        115919.03       124614       107340          
690       0.00029660        119868.51       126578       112862          
700       0.00030429        122905.67       130896       114373          
710       0.00031287        126597.51       134255       117475          
720       0.00032085        129889.81       137088       122270          
730       0.00032958        133454.82       141949       126921          
740       0.00033898        137344.66       145343       130969          
750       0.00034805        141079.54       150441       134047          
760       0.00035825        145298.14       153668       137603          
770       0.00036794        149221.20       158283       137676          
780       0.00037675        152854.22       163219       144504          
790       0.00038501        156335.80       165321       145228          
800       0.00039575        160600.74       167710       150991          
810       0.00045296        164467.36       171872       154914          
820       0.00041544        168471.05       180181       159875          
830       0.00042740        173079.32       184376       159890          
840       0.00043649        177423.31       186188       167589          
850       0.00044716        181604.13       190509       172268          
860       0.00045532        185038.64       196553       175585          
870       0.00046818        190437.69       201676       178194          
880       0.00047522        193210.93       204770       179322          
890       0.00048936        199056.05       208213       188772          
900       0.00050043        203616.77       215228       194670          
910       0.00051185        208324.80       222610       194313          
920       0.00052234        211622.39       223191       198495          
930       0.00056236        217077.57       231114       206632          
