N         Time(s)           OB_avg          OB_max       OB_min
100       0.00000760        540.73          555          523             
110       0.00000988        611.54          624          598             
120       0.00000845        679.82          697          667             
130       0.00000976        751.04          763          738             
140       0.00001137        824.14          842          807             
150       0.00001110        899.27          918          878             
160       0.00010900        976.12          996          959             
170       0.00001355        1051.32         1068         1037            
180       0.00001604        1125.61         1147         1109            
190       0.00009643        1203.26         1222         1181            
200       0.00001639        1281.33         1301         1261            
210       0.00001763        1359.75         1380         1338            
220       0.00001836        1438.58         1459         1415            
230       0.00001855        1519.29         1541         1501            
240       0.00001957        1599.10         1617         1582            
250       0.00002111        1677.88         1696         1657            
260       0.00002300        1761.10         1781         1736            
270       0.00002278        1844.46         1866         1820            
280       0.00002323        1926.49         1947         1900            
290       0.00002390        2012.21         2041         1983            
300       0.00002573        2098.18         2119         2077            
310       0.00002587        2182.06         2205         2157            
320       0.00002748        2267.08         2285         2238            
330       0.00002888        2353.33         2372         2326            
340       0.00002980        2441.17         2463         2416            
350       0.00003123        2526.95         2549         2501            
360       0.00003177        2614.03         2638         2589            
370       0.00003315        2697.03         2733         2668            
380       0.00003334        2784.01         2820         2755            
390       0.00003420        2872.82         2895         2846            
400       0.00003545        2960.49         2984         2929            
410       0.00003651        3049.50         3078         3024            
420       0.00003662        3138.97         3171         3111            
430       0.00003927        3229.70         3254         3190            
440       0.00003969        3317.63         3342         3274            
450       0.00004010        3404.19         3436         3378            
460       0.00004268        3497.37         3525         3461            
470       0.00004320        3586.19         3613         3560            
480       0.00004314        3673.10         3702         3634            
490       0.00004501        3766.56         3802         3731            
500       0.00004488        3854.23         3891         3819            
510       0.00004607        3946.09         3973         3923            
520       0.00004752        4038.37         4064         4007            
530       0.00004924        4132.92         4161         4102            
540       0.00004990        4226.69         4259         4196            
550       0.00005124        4320.94         4348         4282            
560       0.00005084        4415.07         4455         4384            
570       0.00005268        4511.99         4544         4466            
580       0.00005209        4604.08         4637         4565            
590       0.00005456        4700.56         4728         4657            
600       0.00005779        4792.47         4824         4761            
610       0.00005800        4886.49         4914         4853            
620       0.00005853        4985.08         5015         4954            
630       0.00005971        5079.82         5114         5046            
640       0.00005920        5175.61         5212         5121            
650       0.00006217        5268.90         5300         5233            
660       0.00006374        5366.44         5404         5337            
670       0.00006456        5461.82         5504         5414            
680       0.00006425        5556.24         5603         5502            
690       0.00006662        5655.18         5689         5620            
700       0.00006673        5748.70         5785         5713            
710       0.00006732        5842.15         5879         5807            
720       0.00006920        5942.65         5969         5908            
730       0.00006933        6040.98         6078         5989            
740       0.00007060        6135.41         6175         6101            
750       0.00007069        6231.68         6280         6196            
760       0.00007353        6330.72         6368         6288            
770       0.00007436        6427.91         6473         6384            
780       0.00007297        6522.01         6555         6469            
790       0.00007548        6622.90         6654         6570            
800       0.00007445        6718.67         6770         6651            
810       0.00007587        6820.30         6854         6784            
820       0.00007948        6919.23         6959         6880            
830       0.00007690        7015.94         7055         6968            
840       0.00007492        7115.68         7157         7061            
850       0.00007652        7215.46         7251         7182            
860       0.00007707        7313.40         7355         7274            
870       0.00007846        7413.84         7444         7377            
880       0.00007934        7511.26         7557         7468            
890       0.00007989        7612.90         7666         7568            
900       0.00008077        7711.24         7746         7663            
910       0.00008219        7810.77         7860         7757            
920       0.00008296        7909.02         7956         7855            
930       0.00008389        8008.06         8045         7973            
940       0.00008535        8106.66         8150         8058            
950       0.00008590        8209.80         8249         8174            
960       0.00008801        8305.37         8347         8257            
970       0.00008916        8405.58         8460         8361            
980       0.00008904        8507.04         8550         8470            
990       0.00009039        8605.95         8648         8564            
1000      0.00009056        8705.04         8744         8658            
1010      0.00009163        8807.15         8845         8757            
1020      0.00009241        8908.85         8950         8876            
1030      0.00009378        9007.27         9057         8960            
1040      0.00009456        9116.03         9163         9076            
1050      0.00009615        9215.67         9279         9173            
1060      0.00009729        9322.22         9360         9267            
1070      0.00013624        9426.53         9460         9385            
1080      0.00009946        9530.40         9576         9479            
1090      0.00010022        9634.57         9687         9593            
1100      0.00010156        9739.69         9786         9704            
1110      0.00010285        9844.18         9884         9803            
1120      0.00010322        9946.12         10013        9907            
1130      0.00010414        10049.45        10094        10003           
1140      0.00010554        10156.55        10190        10118           
1150      0.00010575        10258.83        10303        10195           
1160      0.00010695        10366.49        10412        10312           
1170      0.00010835        10471.37        10520        10414           
1180      0.00010995        10577.17        10620        10513           
1190      0.00011062        10679.97        10742        10633           
1200      0.00011217        10783.82        10830        10738           
1210      0.00011341        10892.43        10944        10847           
1220      0.00011460        10992.72        11043        10934           
1230      0.00011508        11097.81        11149        11051           
1240      0.00011588        11204.61        11260        11157           
1250      0.00011792        11310.18        11354        11258           
1260      0.00011760        11412.42        11465        11354           
1270      0.00011868        11517.61        11573        11463           
1280      0.00011895        11625.56        11672        11584           
1290      0.00012082        11728.42        11785        11682           
1300      0.00012279        11836.87        11898        11797           
1310      0.00012391        11940.90        11990        11885           
1320      0.00012501        12047.95        12095        11993           
1330      0.00012706        12152.77        12208        12106           
1340      0.00012730        12261.00        12324        12192           
1350      0.00012811        12365.67        12422        12312           
1360      0.00013442        12468.70        12514        12411           
1370      0.00013179        12578.11        12653        12526           
1380      0.00013351        12685.13        12730        12619           
1390      0.00013428        12791.26        12871        12726           
1400      0.00013434        12898.95        12961        12844           
1410      0.00013510        13003.04        13061        12935           
1420      0.00013776        13109.35        13157        13035           
1430      0.00013778        13213.63        13263        13173           
1440      0.00013855        13324.81        13398        13240           
1450      0.00013955        13430.54        13481        13373           
1460      0.00014003        13538.88        13592        13478           
1470      0.00014108        13640.59        13697        13583           
1480      0.00014212        13748.67        13822        13684           
1490      0.00014377        13853.66        13914        13800           
1500      0.00014436        13961.55        14019        13902           
