N         Time(s)           OB_avg          OB_max       OB_min
100       0.00000576        356.00          356          356             
110       0.00000471        395.00          395          395             
120       0.00000522        428.00          428          428             
130       0.00000629        463.00          463          463             
140       0.00000728        524.00          524          524             
150       0.00000801        579.00          579          579             
160       0.00009133        624.00          624          624             
170       0.00000917        679.00          679          679             
180       0.00000921        724.00          724          724             
190       0.00000890        763.00          763          763             
200       0.00008933        812.00          812          812             
210       0.00001016        859.00          859          859             
220       0.00001077        900.00          900          900             
230       0.00001176        941.00          941          941             
240       0.00001097        976.00          976          976             
250       0.00001145        1011.00         1011         1011            
260       0.00001205        1056.00         1056         1056            
270       0.00001257        1125.00         1125         1125            
280       0.00001313        1188.00         1188         1188            
290       0.00001371        1247.00         1247         1247            
300       0.00001423        1308.00         1308         1308            
310       0.00001472        1363.00         1363         1363            
320       0.00001519        1408.00         1408         1408            
330       0.00001627        1473.00         1473         1473            
340       0.00001649        1528.00         1528         1528            
350       0.00001706        1577.00         1577         1577            
360       0.00001781        1628.00         1628         1628            
370       0.00001830        1675.00         1675         1675            
380       0.00001882        1716.00         1716         1716            
390       0.00001945        1769.00         1769         1769            
400       0.00002020        1824.00         1824         1824            
410       0.00002034        1879.00         1879         1879            
420       0.00002091        1928.00         1928         1928            
430       0.00002152        1977.00         1977         1977            
440       0.00002179        2020.00         2020         2020            
450       0.00002233        2061.00         2061         2061            
460       0.00002361        2112.00         2112         2112            
470       0.00002368        2157.00         2157         2157            
480       0.00002404        2192.00         2192         2192            
490       0.00002477        2237.00         2237         2237            
500       0.00002506        2272.00         2272         2272            
510       0.00002571        2301.00         2301         2301            
520       0.00002742        2372.00         2372         2372            
530       0.00002820        2449.00         2449         2449            
540       0.00002906        2520.00         2520         2520            
550       0.00002946        2591.00         2591         2591            
560       0.00002944        2656.00         2656         2656            
570       0.00003057        2721.00         2721         2721            
580       0.00003001        2784.00         2784         2784            
590       0.00003088        2853.00         2853         2853            
600       0.00003168        2916.00         2916         2916            
610       0.00003212        2975.00         2975         2975            
620       0.00003263        3036.00         3036         3036            
630       0.00003297        3091.00         3091         3091            
640       0.00003344        3136.00         3136         3136            
650       0.00003440        3211.00         3211         3211            
660       0.00003505        3276.00         3276         3276            
670       0.00003563        3335.00         3335         3335            
680       0.00003682        3396.00         3396         3396            
690       0.00003716        3453.00         3453         3453            
700       0.00003759        3504.00         3504         3504            
710       0.00003864        3561.00         3561         3561            
720       0.00003870        3616.00         3616         3616            
730       0.00003936        3671.00         3671         3671            
