N         Time(s)           OB_avg          OB_max       OB_min
100       0.00002642        573.00          573          573             
110       0.00003006        643.00          643          643             
120       0.00004699        713.00          713          713             
130       0.00004265        785.00          785          785             
140       0.00004692        865.00          865          865             
150       0.00004565        945.00          945          945             
160       0.00003680        1025.00         1025         1025            
170       0.00005287        1105.00         1105         1105            
180       0.00005626        1185.00         1185         1185            
190       0.00005149        1265.00         1265         1265            
200       0.00005853        1345.00         1345         1345            
210       0.00005824        1425.00         1425         1425            
220       0.00005582        1505.00         1505         1505            
230       0.00006168        1585.00         1585         1585            
240       0.00005390        1665.00         1665         1665            
250       0.00004931        1745.00         1745         1745            
260       0.00006365        1829.00         1829         1829            
270       0.00005935        1919.00         1919         1919            
280       0.00008524        2009.00         2009         2009            
290       0.00009557        2099.00         2099         2099            
300       0.00010507        2189.00         2189         2189            
310       0.00010473        2279.00         2279         2279            
320       0.00008661        2369.00         2369         2369            
330       0.00007913        2459.00         2459         2459            
340       0.00009527        2549.00         2549         2549            
350       0.00009259        2639.00         2639         2639            
360       0.00008397        2729.00         2729         2729            
370       0.00011468        2819.00         2819         2819            
380       0.00015306        2909.00         2909         2909            
390       0.00009448        2999.00         2999         2999            
400       0.00009761        3089.00         3089         3089            
410       0.00009673        3179.00         3179         3179            
420       0.00004568        3269.00         3269         3269            
430       0.00011318        3359.00         3359         3359            
440       0.00013159        3449.00         3449         3449            
450       0.00015502        3539.00         3539         3539            
460       0.00011226        3629.00         3629         3629            
470       0.00014207        3719.00         3719         3719            
480       0.00013398        3809.00         3809         3809            
490       0.00006300        3899.00         3899         3899            
500       0.00014029        3989.00         3989         3989            
510       0.00011630        4079.00         4079         4079            
520       0.00011102        4177.00         4177         4177            
530       0.00007149        4277.00         4277         4277            
540       0.00013028        4377.00         4377         4377            
550       0.00011764        4477.00         4477         4477            
560       0.00012723        4577.00         4577         4577            
570       0.00013711        4677.00         4677         4677            
580       0.00011414        4777.00         4777         4777            
590       0.00015253        4877.00         4877         4877            
600       0.00013935        4977.00         4977         4977            
610       0.00015011        5077.00         5077         5077            
620       0.00013229        5177.00         5177         5177            
630       0.00014209        5277.00         5277         5277            
640       0.00010391        5377.00         5377         5377            
650       0.00022550        5477.00         5477         5477            
660       0.00019710        5577.00         5577         5577            
670       0.00018110        5677.00         5677         5677            
680       0.00014384        5777.00         5777         5777            
690       0.00016318        5877.00         5877         5877            
700       0.00012494        5977.00         5977         5977            
710       0.00019958        6077.00         6077         6077            
720       0.00020229        6177.00         6177         6177            
730       0.00018160        6277.00         6277         6277            
740       0.00022569        6377.00         6377         6377            
750       0.00017597        6477.00         6477         6477            
760       0.00018695        6577.00         6577         6577            
770       0.00019500        6677.00         6677         6677            
780       0.00023160        6777.00         6777         6777            
790       0.00020517        6877.00         6877         6877            
800       0.00021327        6977.00         6977         6977            
810       0.00024945        7077.00         7077         7077            
820       0.00026007        7177.00         7177         7177            
830       0.00027466        7277.00         7277         7277            
840       0.00025793        7377.00         7377         7377            
850       0.00019809        7477.00         7477         7477            
860       0.00023140        7577.00         7577         7577            
870       0.00030843        7677.00         7677         7677            
880       0.00023943        7777.00         7777         7777            
890       0.00024561        7877.00         7877         7877            
900       0.00025209        7977.00         7977         7977            
910       0.00029794        8077.00         8077         8077            
920       0.00024651        8177.00         8177         8177            
930       0.00023556        8277.00         8277         8277            
940       0.00025561        8377.00         8377         8377            
950       0.00026300        8477.00         8477         8477            
960       0.00032525        8577.00         8577         8577            
970       0.00023376        8677.00         8677         8677            
980       0.00034023        8777.00         8777         8777            
990       0.00033611        8877.00         8877         8877            
1000      0.00026528        8977.00         8977         8977            
1010      0.00027321        9077.00         9077         9077            
1020      0.00026954        9177.00         9177         9177            
1030      0.00028548        9283.00         9283         9283            
1040      0.00031387        9393.00         9393         9393            
1050      0.00035250        9503.00         9503         9503            
1060      0.00031483        9613.00         9613         9613            
1070      0.00033045        9723.00         9723         9723            
1080      0.00028064        9833.00         9833         9833            
1090      0.00030057        9943.00         9943         9943            
1100      0.00029940        10053.00        10053        10053           
1110      0.00037452        10163.00        10163        10163           
1120      0.00039927        10273.00        10273        10273           
1130      0.00030639        10383.00        10383        10383           
1140      0.00035136        10493.00        10493        10493           
1150      0.00031733        10603.00        10603        10603           
1160      0.00035955        10713.00        10713        10713           
1170      0.00033360        10823.00        10823        10823           
