N         Time(s)           OB_avg          OB_max       OB_min
100       0.00000692        648.64          796          549             
400       0.00002495        3685.58         4438         3163            
700       0.00004407        7153.62         8893         6416            
1000      0.00007982        10884.98        12410        9678            
1300      0.00011417        14929.84        16936        13672           
1600      0.00013152        19066.00        23030        17260           
1900      0.00014352        23187.95        27439        21146           
2200      0.00017292        27544.05        30767        25233           
2500      0.00019157        32349.09        38671        29509           
2800      0.00021708        36736.10        48619        32420           
3100      0.00024635        40688.06        45358        36949           
3400      0.00028979        46036.93        54192        41937           
3700      0.00029835        50161.29        57255        45999           
4000      0.00032590        55306.07        63300        50882           
4300      0.00034955        59197.76        66421        54847           
4600      0.00037882        64145.18        73237        57241           
4900      0.00040654        69838.06        82056        63220           
5200      0.00043496        73801.60        81768        68367           
5500      0.00049941        78748.24        91576        72065           
5800      0.00052512        84187.48        95021        77996           
6100      0.00055318        88754.38        100404       82547           
6400      0.00055035        93819.81        105448       86544           
6700      0.00057208        99006.13        117754       89945           
7000      0.00059290        103936.76       121916       96036           
7300      0.00063632        108772.36       121986       101378          
7600      0.00066918        114751.74       132185       104366          
7900      0.00072445        120124.34       139963       111622          
8200      0.00075260        124010.02       135102       115555          
8500      0.00074960        129949.69       146968       121135          
8800      0.00077043        134569.97       151614       124464          
9100      0.00082573        139547.61       162843       126904          
9400      0.00094355        144827.80       162376       134464          
9700      0.00089939        150998.82       170818       136700          
10000     0.00090380        155256.30       179085       145164          
10300     0.00092075        161389.42       189249       148372          
10600     0.00095975        166627.23       187212       153818          
10900     0.00103107        173801.69       204404       160140          
11200     0.00101764        175813.37       192828       159846          
11500     0.00104663        184160.58       207994       171201          
11800     0.00107144        187965.44       215474       174685          
12100     0.00116888        192961.94       222536       179618          
12400     0.00114847        198071.66       232216       184952          
12700     0.00117572        204096.55       233207       187880          
13000     0.00120345        210300.74       239854       192166          
13300     0.00126440        216917.56       252037       200974          
13600     0.00127390        218989.14       250349       203491          
13900     0.00133302        226598.52       253799       209521          
14200     0.00144301        229587.20       251615       215539          
14500     0.00141022        236909.05       269007       219002          
14800     0.00141424        241921.83       270646       224824          
15100     0.00141984        245340.15       279262       229535          
15400     0.00148978        253199.15       277587       238258          
15700     0.00151725        259618.91       302147       242349          
16000     0.00170125        262917.25       286855       247595          
16300     0.00159753        269278.41       308785       248147          
16600     0.00162377        275336.41       307925       257052          
16900     0.00166333        281429.91       329228       257075          
17200     0.00164633        287267.65       332533       266249          
17500     0.00170103        292456.86       327016       270111          
17800     0.00183413        297416.50       325872       277766          
18100     0.00180296        303202.45       350377       280131          
18400     0.00177712        310399.19       343506       286373          
18700     0.00183090        314648.98       352299       289200          
19000     0.00186840        320451.29       351623       299420          
19300     0.00199439        327032.68       365555       302060          
19600     0.00190300        330176.93       359902       308528          
19900     0.00199111        336298.09       380804       316431          
20200     0.00204514        343969.69       382561       323291          
20500     0.00219227        349016.85       403668       324935          
20800     0.00209962        355422.71       383068       332427          
21100     0.00206246        359893.22       414621       328972          
21400     0.00209279        365439.32       402420       340713          
21700     0.00223496        368907.35       421768       343720          
22000     0.00212889        377036.33       445569       353437          
22300     0.00216155        381184.19       434479       354949          
22600     0.00222805        390618.20       445756       356333          
22900     0.00235954        395620.31       440921       370773          
23200     0.00227885        402114.81       458452       374034          
23500     0.00228792        407121.71       454184       382220          
23800     0.00238002        409971.36       456589       385371          
24100     0.00249581        416846.99       481611       383812          
24400     0.00243575        423089.03       469648       391385          
24700     0.00242939        429824.46       479175       402282          
25000     0.00248181        434933.08       487083       409248          
25300     0.00266828        439834.12       499023       410417          
25600     0.00261500        445963.95       517589       418340          
25900     0.00254359        451938.02       490909       426771          
26200     0.00270510        458934.01       517345       428586          
26500     0.00259627        461908.10       520384       433083          
26800     0.00269407        472468.02       519903       441439          
27100     0.00267045        475350.03       518203       446394          
27400     0.00269835        481357.70       547693       446014          
27700     0.00273481        488365.23       556171       456670          
28000     0.00278811        494068.12       559208       456087          
28300     0.00296753        499898.91       551473       464822          
28600     0.00285506        503316.94       571652       471543          
28900     0.00293606        511293.89       567058       470721          
29200     0.00303362        515941.12       563735       483614          
29500     0.00296937        523667.32       598178       480771          
29800     0.00297731        530216.28       596102       487055          
30100     0.00314617        533548.47       608302       499364          
30400     0.00307124        536998.68       590716       500188          
30700     0.00314874        544901.45       595462       510118          
31000     0.00326625        552240.09       622197       515244          
31300     0.00318192        556401.34       638149       526477          
31600     0.00322873        564041.52       616209       528077          
31900     0.00327933        574746.22       621956       528283          
32200     0.00326791        581021.26       640869       535897          
32500     0.00337851        581136.53       680646       536418          
32800     0.00330585        586914.34       672281       550667          
33100     0.00339195        598828.83       672996       552216          
33400     0.00354460        601687.26       675159       559738          
33700     0.00343625        609255.59       674341       565627          
34000     0.00346144        609136.91       671667       573311          
34300     0.00347905        619804.19       692772       579964          
34600     0.00352587        623640.19       676611       569710          
34900     0.00360581        632627.34       683843       586196          
35200     0.00364406        635187.46       704799       601886          
35500     0.00357889        642503.02       704460       597846          
35800     0.00374008        647839.63       703026       607155          
36100     0.00387449        655650.22       721492       613496          
36400     0.00397385        665230.33       767701       619642          
