N         Time(s)           OB_avg          OB_max       OB_min
100       0.00000507        647.73          801          542             
130       0.00000864        912.66          1077         778             
160       0.00001315        1190.72         1501         1026            
190       0.00001143        1431.38         1707         1286            
220       0.00001691        1750.20         2078         1510            
250       0.00001663        2076.78         2584         1814            
280       0.00001723        2365.77         2772         2061            
310       0.00001883        2683.46         3272         2270            
340       0.00002297        3032.30         3840         2630            
370       0.00002546        3388.58         4479         2867            
400       0.00002711        3667.45         4384         3241            
430       0.00002830        3983.28         4954         3475            
460       0.00003053        4326.69         5107         3784            
490       0.00003211        4721.94         5611         4188            
520       0.00003383        5028.95         6253         4401            
550       0.00003794        5368.68         6628         4764            
580       0.00003920        5729.82         6533         5077            
610       0.00004191        6172.44         7579         5425            
640       0.00004232        6389.88         7413         5605            
670       0.00004577        6838.57         8168         6082            
700       0.00004753        7173.96         8406         6319            
730       0.00004948        7511.62         8995         6595            
760       0.00005537        7905.48         11109        6974            
790       0.00005484        8316.69         9768         7500            
820       0.00005751        8697.72         10608        7764            
850       0.00005952        9068.85         11037        8053            
880       0.00006230        9431.66         10924        8487            
910       0.00006482        9770.02         11108        8811            
940       0.00006828        10177.75        12279        9081            
970       0.00007217        10559.18        13001        9356            
1000      0.00007975        10930.98        12642        9581            
1030      0.00007563        11426.90        14434        10212           
1060      0.00007833        11738.52        14122        10495           
1090      0.00007967        12172.52        14728        10922           
1120      0.00008238        12456.19        14282        11242           
1150      0.00008415        12912.73        15762        11502           
1180      0.00008906        13499.15        17606        11943           
1210      0.00009305        13805.11        15976        12465           
1240      0.00009323        14153.22        16041        12878           
1270      0.00008967        14402.83        16964        12857           
1300      0.00009234        15033.76        17982        13521           
1330      0.00009731        15364.39        17468        13597           
1360      0.00010086        15640.12        18640        14115           
1390      0.00010688        16265.82        19839        14226           
1420      0.00010541        16626.22        21871        14620           
1450      0.00011433        17040.27        19711        15107           
1480      0.00011302        17241.83        19278        15251           
1510      0.00011730        17973.92        22314        15965           
1540      0.00012013        18285.82        21372        16206           
1570      0.00012123        18558.55        21809        16768           
1600      0.00012832        19067.92        23082        16943           
1630      0.00012530        19354.90        22109        17759           
1660      0.00012716        19913.97        26144        18185           
1690      0.00013118        20291.15        24713        18565           
1720      0.00013225        20656.67        23120        18438           
1750      0.00014041        21056.54        24746        19380           
1780      0.00014363        21520.20        25743        19628           
1810      0.00014580        22031.88        25425        20148           
1840      0.00014688        22287.43        25417        20228           
1870      0.00014847        22869.05        25912        20853           
1900      0.00015222        23220.12        27620        20943           
1930      0.00016259        23705.50        27816        21326           
1960      0.00015320        24434.76        28577        21935           
1990      0.00016309        24518.91        27060        22488           
2020      0.00016142        24976.42        29534        22988           
2050      0.00016130        25163.66        27947        22851           
2080      0.00016463        25951.91        31051        23533           
2110      0.00016545        26304.89        30562        23686           
2140      0.00016900        26722.89        32378        24464           
2170      0.00017308        27195.32        32609        24365           
2200      0.00017620        27509.42        33877        24969           
2230      0.00017943        28061.08        33435        25875           
2260      0.00018322        28485.90        33974        25593           
2290      0.00018486        29209.37        32369        26786           
2320      0.00018869        29410.68        36612        26615           
2350      0.00018838        29880.52        35416        27290           
2380      0.00019173        30132.37        35017        27199           
2410      0.00019747        30645.47        35569        27635           
2440      0.00019989        31259.47        38641        28342           
2470      0.00020063        31681.92        36429        28800           
2500      0.00020222        32005.12        38177        28942           
2530      0.00020570        32334.17        39590        29603           
2560      0.00020574        32771.38        38899        30184           
2590      0.00021277        33374.38        37888        29953           
2620      0.00021293        33932.98        41025        30406           
2650      0.00021787        34170.75        40698        31097           
2680      0.00023269        34742.05        40507        31739           
2710      0.00022568        35497.32        40749        32006           
2740      0.00022302        35945.08        40436        32760           
2770      0.00022667        35898.68        40828        32628           
2800      0.00022901        36294.05        41680        33057           
2830      0.00023343        36937.07        43620        33896           
2860      0.00023325        37209.11        45242        33394           
2890      0.00024069        37831.32        44142        34787           
2920      0.00044381        38635.57        44674        35287           
2950      0.00026909        38977.40        45053        35348           
2980      0.00026642        39046.53        44526        36104           
3010      0.00026497        39839.11        49943        36269           
3040      0.00025673        40025.24        48477        36636           
3070      0.00025687        40372.43        47295        36701           
3100      0.00025945        41080.10        47589        36884           
3130      0.00026228        41538.47        52082        37449           
3160      0.00026405        41695.61        47991        38526           
3190      0.00027247        42218.37        51293        38747           
3220      0.00027110        42721.77        46734        39096           
3250      0.00027523        43071.82        48486        39538           
3280      0.00027750        43909.85        49629        39959           
3310      0.00028165        44021.32        49193        40134           
3340      0.00032259        44704.45        50569        41275           
3370      0.00028820        45208.99        51860        41503           
3400      0.00029397        45833.45        53240        41556           
3430      0.00030118        46224.44        54209        41716           
3460      0.00031460        46373.20        54189        42630           
3490      0.00030025        46767.57        53742        43055           
3520      0.00030767        47303.32        54232        43344           
3550      0.00030322        47896.93        55655        42613           
3580      0.00031217        48550.00        57601        44048           
3610      0.00039196        49111.88        59813        44307           
3640      0.00031483        49129.17        57005        44659           
3670      0.00041131        49575.97        56599        45072           
3700      0.00032254        50424.82        60244        46488           
3730      0.00033209        50788.97        59931        46312           
3760      0.00046886        51197.11        58586        46284           
3790      0.00032103        51425.82        60706        46968           
3820      0.00032877        52202.94        65177        48011           
3850      0.00033175        52783.70        60841        48240           
3880      0.00034173        53177.66        64154        47362           
3910      0.00034273        54182.72        63381        48407           
3940      0.00034343        54109.91        60569        49614           
3970      0.00034360        54665.86        63426        49362           
4000      0.00034852        54730.93        63686        49489           
4030      0.00036567        55045.36        61828        49904           
4060      0.00035489        55621.93        62852        50437           
4090      0.00035568        56650.92        69219        50800           
4120      0.00036524        56836.89        64224        51455           
4150      0.00036075        57239.43        73108        52209           
4180      0.00036469        57985.88        68033        52845           
4210      0.00036988        58353.22        74021        53054           
4240      0.00036988        58852.15        69243        54329           
4270      0.00037277        59167.29        68621        54281           
4300      0.00037676        59609.72        70862        55213           
4330      0.00041879        60282.34        70655        55580           
4360      0.00037656        60786.73        71866        56135           
4390      0.00038029        60964.19        69669        56004           
4420      0.00038079        61901.74        73618        55170           
4450      0.00038674        62280.03        71258        56217           
4480      0.00039483        63031.37        71429        57620           
4510      0.00039222        62971.88        71608        57998           
4540      0.00039550        63621.19        77006        57890           
4570      0.00040487        63665.26        70419        57801           
4600      0.00041297        64240.24        72639        58105           
4630      0.00039409        65146.53        73096        59552           
4660      0.00041059        65569.61        74522        60464           
4690      0.00041211        66486.13        80567        60801           
4720      0.00041586        66456.39        75402        60572           
4750      0.00041851        66755.48        80392        61235           
4780      0.00042472        67329.80        78772        61892           
4810      0.00041717        68009.49        76365        62410           
4840      0.00042054        68359.12        82209        61685           
4870      0.00043566        68984.47        81539        63953           
4900      0.00042932        69478.65        83241        62988           
4930      0.00042892        69710.07        83917        63642           
4960      0.00043037        70560.74        81332        64249           
4990      0.00043219        71072.77        83495        64541           
5020      0.00043352        70825.41        83093        64843           
5050      0.00044182        71995.08        80253        66292           
5080      0.00043617        72410.58        81633        65532           
5110      0.00044873        72890.93        84173        66378           
5140      0.00045570        72853.21        80979        66893           
5170      0.00045912        73745.27        88258        67576           
5200      0.00046221        74007.08        85278        68811           
5230      0.00046283        74734.43        86413        69715           
5260      0.00046802        75186.51        83684        69179           
5290      0.00047095        76201.40        89656        68967           
5320      0.00047380        76123.32        86749        70325           
5350      0.00048083        76587.28        87106        71317           
5380      0.00048888        77658.71        93719        70773           
5410      0.00048236        77455.90        88951        70676           
5440      0.00047202        77944.09        90442        71945           
5470      0.00048146        78398.66        92591        72093           
5500      0.00051458        78969.57        93868        72442           
5530      0.00049805        79538.62        91869        73670           
5560      0.00049643        79619.70        98224        74068           
5590      0.00050788        80644.36        89697        74485           
5620      0.00050734        81183.06        93688        74002           
5650      0.00051763        81274.23        89664        74632           
5680      0.00051477        81805.08        92833        75303           
5710      0.00049400        82650.69        93752        76010           
5740      0.00050418        83162.12        94992        75302           
5770      0.00051820        83295.36        97802        76218           
5800      0.00054332        83967.70        99649        77872           
5830      0.00053352        84447.76        97595        78098           
5860      0.00053517        84702.61        97227        77221           
5890      0.00055021        85751.75        96056        78409           
5920      0.00052763        85969.45        99310        79133           
5950      0.00053991        86352.29        101621       79235           
5980      0.00053472        87304.05        98653        79392           
6010      0.00054283        87806.28        101992       80396           
6040      0.00054957        87958.82        100068       80432           
6070      0.00054506        88302.43        101661       80719           
6100      0.00054541        88579.62        100980       81741           
6130      0.00055191        90248.82        104320       83045           
6160      0.00055322        89474.88        100201       81933           
6190      0.00061413        90645.38        106422       83432           
6220      0.00059207        90910.31        112482       83610           
6250      0.00057439        91095.92        102450       83203           
6280      0.00058428        92034.18        107551       84550           
6310      0.00057079        92650.81        105446       82501           
6340      0.00057260        93464.59        108467       86876           
6370      0.00058147        94313.57        111685       86008           
6400      0.00059116        93851.74        106747       85639           
6430      0.00059477        94332.66        105653       86427           
6460      0.00059472        95067.34        107535       86514           
6490      0.00061452        95592.58        109364       87383           
6520      0.00060440        96131.60        111001       88486           
6550      0.00060143        96730.12        112902       88168           
6580      0.00065288        96775.37        109772       89091           
6610      0.00062150        96953.56        115694       88809           
6640      0.00061038        97701.45        115976       91110           
6670      0.00061200        98328.02        109181       90689           
6700      0.00059565        99196.90        117113       90977           
6730      0.00060171        100149.80       120015       90999           
6760      0.00060400        100471.65       114008       92912           
6790      0.00062228        100861.65       121760       93608           
6820      0.00062403        100968.67       109389       93656           
6850      0.00063041        100967.82       113639       90798           
6880      0.00063455        102363.27       113863       93905           
6910      0.00065306        102324.76       117114       93588           
6940      0.00067527        103321.36       117912       95178           
6970      0.00065228        103342.36       117175       95029           
7000      0.00065187        103080.82       122574       95639           
7030      0.00065619        105054.88       121568       97250           
7060      0.00065957        105458.54       120308       97877           
7090      0.00064808        105080.64       116532       97522           
7120      0.00064977        106249.77       122352       98091           
7150      0.00066557        106319.52       121676       98198           
7180      0.00068701        107433.46       119361       99323           
7210      0.00066758        107300.51       120872       98006           
7240      0.00068849        108852.13       124736       98983           
7270      0.00071499        107917.55       122780       98853           
7300      0.00067614        108978.64       127960       99079           
7330      0.00067297        109362.98       124515       101169          
7360      0.00067247        110569.52       122874       102392          
7390      0.00070104        111464.02       129753       102023          
7420      0.00068434        111135.07       126327       103856          
7450      0.00069034        111239.15       126078       102127          
7480      0.00068997        111997.05       128505       103883          
7510      0.00068578        112265.62       124747       104585          
7540      0.00068544        113270.05       127853       104211          
7570      0.00072344        113835.26       131608       105885          
7600      0.00070970        114037.58       130808       104283          
7630      0.00069843        114799.76       130987       104408          
7660      0.00070692        115121.15       128831       105244          
7690      0.00070673        116054.93       137376       105832          
7720      0.00070798        116630.62       130824       108259          
7750      0.00072932        117222.38       130183       107179          
7780      0.00075689        116713.52       128905       106952          
7810      0.00072362        117793.04       129454       108913          
7840      0.00073622        119422.62       142642       110445          
7870      0.00074752        119085.91       137968       109430          
7900      0.00077073        119649.56       141608       110156          
7930      0.00072675        120194.52       134908       110213          
7960      0.00085879        119795.12       135623       110504          
7990      0.00074530        120948.37       142566       109818          
8020      0.00075595        121891.09       139158       110026          
8050      0.00076723        122535.06       142019       113490          
8080      0.00073843        122673.89       140099       112811          
8110      0.00075539        123309.43       146648       112201          
8140      0.00078363        123376.93       137090       114752          
8170      0.00080037        123514.18       138694       114842          
8200      0.00074876        123705.78       137212       114766          
8230      0.00089070        124837.10       140250       115017          
8260      0.00075769        125538.21       148944       115918          
8290      0.00077521        125992.54       144410       116617          
8320      0.00076944        126006.63       143619       116494          
8350      0.00079905        127214.66       144052       117687          
8380      0.00079939        127384.60       146040       114978          
8410      0.00078612        127492.18       147809       115240          
8440      0.00078908        129143.98       157586       120597          
8470      0.00079290        130353.69       147085       121167          
8500      0.00080226        129438.14       166022       120330          
8530      0.00080012        129977.77       146748       120387          
8560      0.00079649        130663.22       152132       122333          
8590      0.00080596        131066.16       155026       121856          
8620      0.00080171        132068.21       153477       121498          
8650      0.00079256        133326.42       159690       123901          
8680      0.00079981        132315.63       148482       121172          
8710      0.00082323        132729.08       154646       121687          
8740      0.00083931        134394.38       152186       124218          
8770      0.00082652        134778.83       159342       124501          
8800      0.00081560        134348.77       162548       124314          
8830      0.00082802        134603.25       155005       123723          
8860      0.00082582        134969.24       160409       124995          
8890      0.00084279        135788.93       152831       125804          
8920      0.00084584        137102.61       152229       127112          
8950      0.00085305        136963.34       154788       127063          
8980      0.00085802        137864.02       156253       126802          
9010      0.00092071        140218.06       159661       126115          
9040      0.00090147        138206.26       158048       126668          
9070      0.00085614        139406.61       161371       126339          
9100      0.00085594        140614.57       158022       129385          
9130      0.00088555        139229.23       155880       130425          
9160      0.00088698        140561.86       153755       130331          
9190      0.00087090        141343.12       159183       130783          
9220      0.00087989        142084.78       166814       130617          
9250      0.00098573        141977.34       159701       132117          
9280      0.00090693        142605.55       163874       132385          
9310      0.00089760        142705.10       160570       133930          
9340      0.00089364        144753.01       167031       131741          
9370      0.00092967        144651.78       165035       133309          
9400      0.00087988        145094.77       163938       133969          
9430      0.00087548        145753.79       164312       133650          
9460      0.00088013        146774.37       165022       133125          
9490      0.00100082        145492.27       163330       135382          
9520      0.00090628        147146.17       180223       135207          
9550      0.00091601        147036.83       169089       135955          
9580      0.00091802        148894.00       178346       138312          
9610      0.00093831        148438.45       165364       136687          
9640      0.00094406        149982.83       173296       139158          
9670      0.00092389        149302.12       167389       138429          
9700      0.00092528        149697.77       172298       137651          
9730      0.00097261        152046.59       176688       139729          
9760      0.00095380        151231.36       166892       138406          
9790      0.00095331        151726.80       184079       141189          
9820      0.00096163        151852.75       186519       140076          
9850      0.00094986        152456.52       173699       141484          
9880      0.00095221        153002.49       169237       142664          
9910      0.00096897        153699.71       180192       143516          
9940      0.00098954        154714.88       170819       141381          
9970      0.00108399        154490.01       176425       142066          
10000     0.00101622        155370.55       172599       145139          
10030     0.00102611        156679.42       182709       145421          
10060     0.00097748        156418.05       174437       145484          
10090     0.00098374        156920.98       183001       144707          
10120     0.00098398        159086.82       196348       148628          
10150     0.00094968        158079.42       181046       146254          
10180     0.00100102        158627.60       187226       149472          
10210     0.00099023        159021.87       177662       146705          
10240     0.00101357        159487.06       182596       148073          
10270     0.00099813        160479.83       179592       146930          
10300     0.00100717        160683.48       184491       148854          
10330     0.00100655        160932.67       180514       148993          
10360     0.00100559        162433.26       184164       148700          
10390     0.00099332        161377.19       191091       150495          
10420     0.00103272        162492.27       184062       149898          
10450     0.00103208        163511.62       185332       149402          
10480     0.00102377        164449.17       189474       152568          
10510     0.00102399        164987.17       184820       153909          
10540     0.00101748        165070.02       184874       152076          
10570     0.00102312        164785.70       184303       151586          
10600     0.00100194        164738.01       185770       152199          
10630     0.00114959        166696.08       188439       154264          
10660     0.00108092        166981.55       189250       154551          
10690     0.00105039        166511.27       185798       154657          
10720     0.00105754        169877.89       188782       157037          
10750     0.00102919        169136.58       188727       154224          
10780     0.00116528        169955.14       199471       155664          
10810     0.00102083        170111.20       194275       158626          
10840     0.00108210        169970.56       191917       158961          
10870     0.00105542        171072.47       191731       156150          
10900     0.00105813        170271.20       191015       159573          
10930     0.00114801        171473.92       195853       156012          
10960     0.00106157        172586.66       188619       159584          
10990     0.00106941        173691.17       195431       159561          
11020     0.00108613        174547.73       198677       162228          
11050     0.00110367        174824.14       193398       161520          
11080     0.00108214        175093.12       202085       161866          
11110     0.00109296        176494.27       207159       159823          
11140     0.00109333        176090.84       201370       162586          
11170     0.00108150        176517.17       202174       164074          
11200     0.00105768        177254.32       204877       163802          
11230     0.00111386        176121.40       196141       163623          
11260     0.00108560        177842.92       201222       165170          
11290     0.00110387        177701.60       203116       165658          
11320     0.00110952        178329.44       201104       164514          
11350     0.00110653        178172.26       203175       164106          
11380     0.00121387        181098.57       213918       167873          
11410     0.00114033        181022.61       205876       169554          
11440     0.00115244        180841.16       209593       167225          
11470     0.00112465        182955.22       207435       170371          
11500     0.00110010        182780.92       201980       169783          
11530     0.00109612        184010.48       207125       167197          
11560     0.00110772        184245.35       209216       171376          
11590     0.00115141        182647.31       206446       171962          
11620     0.00112084        184826.64       205150       169594          
11650     0.00114900        185761.13       208738       170780          
11680     0.00124351        185317.84       210416       172462          
11710     0.00111700        185332.99       212602       172962          
11740     0.00112584        186813.60       204753       173479          
11770     0.00114463        187415.73       203916       173356          
11800     0.00112633        187755.44       229434       172314          
11830     0.00119527        188421.28       213109       173434          
11860     0.00116426        188406.70       212563       175152          
11890     0.00116364        190339.61       220405       175545          
11920     0.00116144        188379.93       231471       174816          
11950     0.00117295        190849.06       221239       177339          
11980     0.00117322        191853.65       209550       179772          
12010     0.00113598        190731.25       221353       173356          
12040     0.00116161        192363.27       217162       176946          
12070     0.00116197        192085.73       214142       180451          
12100     0.00117040        194274.27       217701       176551          
12130     0.00118624        194755.29       217718       179727          
12160     0.00117169        193797.51       229547       178506          
12190     0.00116596        193793.93       217637       181918          
12220     0.00122537        194326.65       224170       181490          
12250     0.00118945        195038.21       221724       180234          
12280     0.00119503        196197.88       223212       180154          
12310     0.00120576        195846.58       218576       181409          
12340     0.00118922        197723.83       229769       180674          
12370     0.00118766        198175.33       229677       183779          
12400     0.00122518        199423.70       237335       183228          
12430     0.00119237        198783.17       221556       183249          
12460     0.00119527        199352.98       222536       187092          
12490     0.00121768        199197.69       232607       184905          
12520     0.00120492        199375.66       240630       184817          
12550     0.00120772        201646.77       234257       188140          
12580     0.00123569        200874.15       236155       185604          
12610     0.00120262        202331.81       230007       188415          
12640     0.00121684        203416.16       227916       186472          
12670     0.00124408        203770.48       240776       187601          
12700     0.00122807        202617.08       222677       188522          
12730     0.00123379        204842.08       231999       191254          
12760     0.00126368        206687.38       235552       189898          
12790     0.00121171        205115.27       231760       190832          
12820     0.00122916        205223.34       236636       191185          
12850     0.00124974        206434.09       229730       190529          
12880     0.00124757        207011.12       254461       191099          
12910     0.00124276        206819.29       233162       190418          
12940     0.00129454        208760.68       232665       189223          
12970     0.00124548        208166.02       239680       194140          
13000     0.00124544        210503.50       232778       193675          
13030     0.00124582        208414.22       233243       194576          
13060     0.00125888        210082.81       251771       193959          
13090     0.00126080        210315.53       236703       197617          
13120     0.00127483        210856.39       244877       194144          
13150     0.00124715        210968.65       240786       196486          
13180     0.00127217        212638.45       245540       199374          
13210     0.00125068        213078.13       248175       197150          
13240     0.00127324        211852.13       233486       198173          
13270     0.00128775        214435.14       242469       196563          
13300     0.00130794        214243.17       243924       198467          
13330     0.00129657        215804.70       250579       196658          
13360     0.00129547        215312.66       250225       198893          
13390     0.00130776        216185.68       237342       200371          
13420     0.00126586        216047.08       251063       201673          
13450     0.00128610        218179.22       247468       202781          
13480     0.00128447        218041.38       252956       201951          
13510     0.00128830        217844.08       238217       202541          
13540     0.00128865        219505.04       245111       202877          
13570     0.00130667        219839.97       247553       203794          
13600     0.00130323        219640.83       240313       204502          
13630     0.00130983        221017.98       262554       204084          
13660     0.00133081        223333.14       257966       207652          
13690     0.00131335        220512.92       258714       207347          
13720     0.00131451        222389.28       251081       207382          
13750     0.00131657        222530.73       249054       206958          
13780     0.00132708        222226.34       253535       203503          
13810     0.00136967        223423.75       246474       206804          
13840     0.00131249        224133.05       252442       206468          
13870     0.00134391        225400.31       254325       209708          
13900     0.00134185        226808.00       253152       207779          
13930     0.00134347        225525.67       259581       210991          
13960     0.00135275        225678.60       248125       211615          
13990     0.00135837        227102.31       247919       212021          
14020     0.00135882        227686.96       257365       212662          
14050     0.00136106        227428.09       252051       209694          
14080     0.00136369        228646.28       262562       213071          
14110     0.00136128        228536.11       253163       213328          
14140     0.00139425        231082.27       268996       212487          
14170     0.00137246        231421.70       255591       213468          
14200     0.00134671        231036.43       258830       214957          
14230     0.00138351        232438.48       267142       213962          
14260     0.00137514        233687.35       260351       217255          
14290     0.00149275        231851.18       269163       214837          
14320     0.00138705        233062.73       259256       214913          
14350     0.00138918        233020.16       272732       218971          
14380     0.00139940        234317.68       266692       219193          
14410     0.00139045        234067.65       261983       217473          
14440     0.00141082        234520.74       265331       218476          
14470     0.00141024        235901.58       268993       221138          
14500     0.00141037        235302.92       257952       219201          
14530     0.00142250        235670.89       259184       216293          
14560     0.00141853        237833.16       270267       220976          
14590     0.00141861        238198.86       269831       221762          
14620     0.00143166        239471.32       269082       219919          
14650     0.00158731        240085.13       269110       224717          
14680     0.00143017        239807.64       264253       225116          
14710     0.00145169        240466.41       272364       222839          
14740     0.00143591        239835.74       273481       221394          
14770     0.00144823        241191.77       272429       224445          
14800     0.00144033        240219.65       268731       222219          
14830     0.00145200        243253.59       266237       226919          
14860     0.00146445        242643.49       271830       221078          
14890     0.00145848        244367.58       276462       226528          
14920     0.00148443        242925.75       264491       224458          
14950     0.00146280        245785.02       275191       225050          
14980     0.00146199        245711.29       273220       230223          
15010     0.00147080        246705.82       271940       228701          
15040     0.00146438        246884.67       268726       230705          
15070     0.00152214        246569.77       276822       226120          
15100     0.00161698        246438.41       285337       230088          
15130     0.00147342        247276.08       282487       229703          
15160     0.00149121        248885.63       275227       231272          
15190     0.00148058        249752.62       278278       233508          
15220     0.00149988        249455.81       280163       230654          
15250     0.00151274        250773.84       300984       232759          
15280     0.00151556        250259.70       281385       234001          
15310     0.00149827        251446.65       301193       233438          
15340     0.00154489        250895.12       288814       233509          
15370     0.00151413        251676.90       309573       234143          
15400     0.00150401        253075.40       292559       233690          
15430     0.00149199        251415.95       279614       233621          
15460     0.00149367        252778.68       286480       237209          
15490     0.00150153        255548.80       289898       232125          
15520     0.00154420        254266.09       293046       237075          
15550     0.00150655        255751.48       298664       236304          
15580     0.00151597        257839.88       287200       240609          
15610     0.00151205        256840.91       285369       237520          
15640     0.00165283        257344.21       294659       237141          
15670     0.00156231        256073.28       282242       239154          
15700     0.00154612        259074.90       286902       240986          
15730     0.00152490        258172.59       287517       242666          
15760     0.00154031        260409.14       307558       240948          
15790     0.00153492        259039.74       292973       239898          
15820     0.00157191        262813.97       338785       245551          
15850     0.00154585        259837.76       295349       243123          
15880     0.00155672        263501.80       293862       243872          
15910     0.00156393        261877.12       294459       244598          
15940     0.00167773        262204.23       291079       246639          
15970     0.00155418        262523.96       292004       244586          
16000     0.00155568        265400.38       305682       245430          
16030     0.00157366        264963.58       302202       244868          
16060     0.00156543        265144.66       299851       244105          
16090     0.00157932        268019.76       299332       247913          
16120     0.00156988        266843.17       300953       249650          
16150     0.00158131        267493.54       295060       250176          
16180     0.00157868        266968.18       295306       249252          
16210     0.00158114        270294.83       312847       247328          
16240     0.00161918        269703.81       312820       253053          
16270     0.00160035        271473.38       313488       249550          
16300     0.00160111        269526.53       301928       250612          
16330     0.00159824        271015.17       298779       251872          
16360     0.00161823        272566.42       306915       252493          
16390     0.00160941        271229.38       317521       250356          
16420     0.00160968        271382.17       326107       253043          
16450     0.00161808        272335.46       303751       256089          
16480     0.00161458        272765.18       306959       257112          
16510     0.00164035        273456.86       309680       252591          
16540     0.00162696        274722.26       316798       257723          
16570     0.00162918        275567.60       318981       256386          
16600     0.00162362        276288.09       318060       257587          
16630     0.00164136        276665.58       311868       255107          
16660     0.00163604        277344.72       335078       256738          
16690     0.00163813        278533.58       313003       255755          
16720     0.00163288        278385.80       308768       259156          
16750     0.00175967        278207.71       308014       259303          
16780     0.00171309        278358.02       311330       260949          
16810     0.00166320        279474.33       316868       254840          
16840     0.00167592        279287.28       314404       261459          
16870     0.00167531        280534.38       322557       263272          
16900     0.00165129        281390.77       316248       259464          
16930     0.00166123        279898.28       301369       263024          
