N         Time(s)           OB_avg          OB_max       OB_min
100       0.00000257        480.00          480          480             
110       0.00000358        540.00          540          540             
120       0.00000383        600.00          600          600             
130       0.00000407        663.00          663          663             
140       0.00000401        733.00          733          733             
150       0.00000354        803.00          803          803             
160       0.00000424        873.00          873          873             
170       0.00000393        943.00          943          943             
180       0.00000498        1013.00         1013         1013            
190       0.00000546        1083.00         1083         1083            
200       0.00000474        1153.00         1153         1153            
210       0.00000473        1223.00         1223         1223            
220       0.00000481        1293.00         1293         1293            
230       0.00000499        1363.00         1363         1363            
240       0.00000524        1433.00         1433         1433            
250       0.00000546        1503.00         1503         1503            
260       0.00009455        1578.00         1578         1578            
270       0.00000601        1658.00         1658         1658            
280       0.00000649        1738.00         1738         1738            
290       0.00000651        1818.00         1818         1818            
300       0.00000705        1898.00         1898         1898            
310       0.00000753        1978.00         1978         1978            
320       0.00000781        2058.00         2058         2058            
330       0.00000802        2138.00         2138         2138            
340       0.00000883        2218.00         2218         2218            
350       0.00000878        2298.00         2298         2298            
360       0.00000926        2378.00         2378         2378            
370       0.00001003        2458.00         2458         2458            
380       0.00000978        2538.00         2538         2538            
390       0.00001092        2618.00         2618         2618            
400       0.00001021        2698.00         2698         2698            
410       0.00001035        2778.00         2778         2778            
420       0.00001080        2858.00         2858         2858            
430       0.00001086        2938.00         2938         2938            
440       0.00001111        3018.00         3018         3018            
450       0.00001137        3098.00         3098         3098            
460       0.00001162        3178.00         3178         3178            
470       0.00001195        3258.00         3258         3258            
480       0.00001207        3338.00         3338         3338            
490       0.00001231        3418.00         3418         3418            
500       0.00001246        3498.00         3498         3498            
510       0.00001269        3578.00         3578         3578            
520       0.00001299        3667.00         3667         3667            
530       0.00001312        3757.00         3757         3757            
540       0.00001376        3847.00         3847         3847            
550       0.00001424        3937.00         3937         3937            
560       0.00001412        4027.00         4027         4027            
570       0.00001448        4117.00         4117         4117            
580       0.00001543        4207.00         4207         4207            
590       0.00001593        4297.00         4297         4297            
600       0.00001540        4387.00         4387         4387            
610       0.00001583        4477.00         4477         4477            
620       0.00001629        4567.00         4567         4567            
630       0.00001655        4657.00         4657         4657            
640       0.00001774        4747.00         4747         4747            
650       0.00001760        4837.00         4837         4837            
660       0.00001773        4927.00         4927         4927            
670       0.00001826        5017.00         5017         5017            
680       0.00001928        5107.00         5107         5107            
690       0.00001883        5197.00         5197         5197            
700       0.00001926        5287.00         5287         5287            
710       0.00001959        5377.00         5377         5377            
720       0.00002010        5467.00         5467         5467            
730       0.00002059        5557.00         5557         5557            
740       0.00002104        5647.00         5647         5647            
750       0.00002117        5737.00         5737         5737            
760       0.00002155        5827.00         5827         5827            
770       0.00002419        5917.00         5917         5917            
780       0.00002282        6007.00         6007         6007            
790       0.00002223        6097.00         6097         6097            
800       0.00002247        6187.00         6187         6187            
810       0.00002375        6277.00         6277         6277            
820       0.00002274        6367.00         6367         6367            
830       0.00002300        6457.00         6457         6457            
840       0.00002427        6547.00         6547         6547            
850       0.00002362        6637.00         6637         6637            
860       0.00002367        6727.00         6727         6727            
870       0.00002413        6817.00         6817         6817            
880       0.00002423        6907.00         6907         6907            
890       0.00002408        6997.00         6997         6997            
900       0.00002515        7087.00         7087         7087            
910       0.00002531        7177.00         7177         7177            
920       0.00002517        7267.00         7267         7267            
930       0.00002539        7357.00         7357         7357            
940       0.00002567        7447.00         7447         7447            
950       0.00002559        7537.00         7537         7537            
960       0.00002627        7627.00         7627         7627            
970       0.00002709        7717.00         7717         7717            
980       0.00002648        7807.00         7807         7807            
990       0.00002519        7897.00         7897         7897            
1000      0.00002648        7987.00         7987         7987            
1010      0.00002695        8077.00         8077         8077            
1020      0.00002743        8167.00         8167         8167            
1030      0.00002831        8264.00         8264         8264            
1040      0.00002924        8364.00         8364         8364            
1050      0.00002832        8464.00         8464         8464            
1060      0.00002948        8564.00         8564         8564            
1070      0.00002912        8664.00         8664         8664            
1080      0.00002939        8764.00         8764         8764            
1090      0.00003075        8864.00         8864         8864            
1100      0.00003093        8964.00         8964         8964            
1110      0.00003141        9064.00         9064         9064            
1120      0.00003272        9164.00         9164         9164            
1130      0.00003197        9264.00         9264         9264            
1140      0.00003233        9364.00         9364         9364            
1150      0.00003282        9464.00         9464         9464            
1160      0.00003358        9564.00         9564         9564            
1170      0.00003384        9664.00         9664         9664            
1180      0.00003428        9764.00         9764         9764            
1190      0.00003452        9864.00         9864         9864            
1200      0.00003442        9964.00         9964         9964            
1210      0.00003606        10064.00        10064        10064           
1220      0.00003587        10164.00        10164        10164           
1230      0.00003573        10264.00        10264        10264           
1240      0.00003573        10364.00        10364        10364           
1250      0.00003704        10464.00        10464        10464           
1260      0.00003640        10564.00        10564        10564           
1270      0.00003702        10664.00        10664        10664           
1280      0.00003797        10764.00        10764        10764           
1290      0.00003809        10864.00        10864        10864           
1300      0.00003933        10964.00        10964        10964           
1310      0.00004016        11064.00        11064        11064           
1320      0.00003891        11164.00        11164        11164           
1330      0.00004118        11264.00        11264        11264           
1340      0.00004095        11364.00        11364        11364           
1350      0.00006231        11464.00        11464        11464           
1360      0.00009345        11564.00        11564        11564           
1370      0.00004331        11664.00        11664        11664           
1380      0.00004191        11764.00        11764        11764           
1390      0.00004196        11864.00        11864        11864           
1400      0.00004200        11964.00        11964        11964           
1410      0.00004301        12064.00        12064        12064           
1420      0.00004407        12164.00        12164        12164           
1430      0.00004430        12264.00        12264        12264           
1440      0.00004773        12364.00        12364        12364           
1450      0.00018959        12464.00        12464        12464           
1460      0.00004442        12564.00        12564        12564           
1470      0.00004567        12664.00        12664        12664           
1480      0.00004661        12764.00        12764        12764           
1490      0.00004680        12864.00        12864        12864           
1500      0.00004611        12964.00        12964        12964           
1510      0.00004646        13064.00        13064        13064           
1520      0.00004653        13164.00        13164        13164           
1530      0.00004701        13264.00        13264        13264           
1540      0.00004653        13364.00        13364        13364           
1550      0.00004828        13464.00        13464        13464           
1560      0.00004852        13564.00        13564        13564           
1570      0.00004855        13664.00        13664        13664           
1580      0.00004930        13764.00        13764        13764           
1590      0.00004856        13864.00        13864        13864           
1600      0.00004846        13964.00        13964        13964           
1610      0.00004993        14064.00        14064        14064           
1620      0.00005091        14164.00        14164        14164           
1630      0.00005083        14264.00        14264        14264           
1640      0.00005038        14364.00        14364        14364           
1650      0.00005165        14464.00        14464        14464           
1660      0.00005144        14564.00        14564        14564           
1670      0.00005468        14664.00        14664        14664           
1680      0.00005472        14764.00        14764        14764           
1690      0.00005273        14864.00        14864        14864           
1700      0.00005173        14964.00        14964        14964           
1710      0.00005233        15064.00        15064        15064           
1720      0.00005154        15164.00        15164        15164           
1730      0.00005330        15264.00        15264        15264           
1740      0.00005431        15364.00        15364        15364           
1750      0.00006936        15464.00        15464        15464           
1760      0.00005653        15564.00        15564        15564           
1770      0.00005385        15664.00        15664        15664           
1780      0.00005151        15764.00        15764        15764           
1790      0.00006220        15864.00        15864        15864           
1800      0.00005770        15964.00        15964        15964           
1810      0.00005419        16064.00        16064        16064           
1820      0.00005513        16164.00        16164        16164           
1830      0.00006161        16264.00        16264        16264           
1840      0.00006039        16364.00        16364        16364           
1850      0.00005724        16464.00        16464        16464           
1860      0.00005412        16564.00        16564        16564           
1870      0.00005739        16664.00        16664        16664           
1880      0.00005511        16764.00        16764        16764           
1890      0.00005806        16864.00        16864        16864           
1900      0.00005474        16964.00        16964        16964           
1910      0.00005470        17064.00        17064        17064           
1920      0.00005815        17164.00        17164        17164           
1930      0.00005890        17264.00        17264        17264           
1940      0.00005782        17364.00        17364        17364           
1950      0.00005731        17464.00        17464        17464           
1960      0.00005724        17564.00        17564        17564           
1970      0.00006021        17664.00        17664        17664           
1980      0.00005908        17764.00        17764        17764           
1990      0.00006250        17864.00        17864        17864           
2000      0.00005933        17964.00        17964        17964           
2010      0.00005858        18064.00        18064        18064           
2020      0.00006125        18164.00        18164        18164           
2030      0.00006151        18264.00        18264        18264           
2040      0.00005926        18364.00        18364        18364           
2050      0.00005485        18467.00        18467        18467           
2060      0.00005875        18577.00        18577        18577           
2070      0.00006082        18687.00        18687        18687           
2080      0.00005817        18797.00        18797        18797           
2090      0.00006137        18907.00        18907        18907           
2100      0.00006155        19017.00        19017        19017           
2110      0.00006242        19127.00        19127        19127           
