N         Time(s)           OB_avg          OB_max       OB_min
100       0.00002089        4950.00         4950         4950            
110       0.00002747        5995.00         5995         5995            
120       0.00002914        7140.00         7140         7140            
130       0.00003212        8385.00         8385         8385            
140       0.00002798        9730.00         9730         9730            
150       0.00003071        11175.00        11175        11175           
160       0.00003209        12720.00        12720        12720           
170       0.00003498        14365.00        14365        14365           
180       0.00004057        16110.00        16110        16110           
190       0.00004393        17955.00        17955        17955           
200       0.00004869        19900.00        19900        19900           
210       0.00005384        21945.00        21945        21945           
220       0.00005827        24090.00        24090        24090           
230       0.00006324        26335.00        26335        26335           
240       0.00007009        28680.00        28680        28680           
250       0.00007852        31125.00        31125        31125           
260       0.00008240        33670.00        33670        33670           
270       0.00008702        36315.00        36315        36315           
280       0.00009722        39060.00        39060        39060           
290       0.00011396        41905.00        41905        41905           
300       0.00010495        44850.00        44850        44850           
310       0.00011206        47895.00        47895        47895           
320       0.00011919        51040.00        51040        51040           
330       0.00012710        54285.00        54285        54285           
340       0.00013670        57630.00        57630        57630           
350       0.00014290        61075.00        61075        61075           
360       0.00015009        64620.00        64620        64620           
370       0.00016076        68265.00        68265        68265           
380       0.00016754        72010.00        72010        72010           
390       0.00017586        75855.00        75855        75855           
400       0.00020412        79800.00        79800        79800           
410       0.00019369        83845.00        83845        83845           
420       0.00020397        87990.00        87990        87990           
430       0.00021186        92235.00        92235        92235           
440       0.00022259        96580.00        96580        96580           
450       0.00023346        101025.00       101025       101025          
460       0.00024421        105570.00       105570       105570          
470       0.00025511        110215.00       110215       110215          
480       0.00026555        114960.00       114960       114960          
490       0.00027333        119805.00       119805       119805          
500       0.00028787        124750.00       124750       124750          
510       0.00030031        129795.00       129795       129795          
520       0.00031327        134940.00       134940       134940          
530       0.00032511        140185.00       140185       140185          
540       0.00033330        145530.00       145530       145530          
550       0.00035909        150975.00       150975       150975          
560       0.00039429        156520.00       156520       156520          
570       0.00037578        162165.00       162165       162165          
580       0.00038476        167910.00       167910       167910          
590       0.00039793        173755.00       173755       173755          
600       0.00041153        179700.00       179700       179700          
610       0.00042320        185745.00       185745       185745          
620       0.00043910        191890.00       191890       191890          
630       0.00045664        198135.00       198135       198135          
640       0.00046669        204480.00       204480       204480          
650       0.00047708        210925.00       210925       210925          
660       0.00049285        217470.00       217470       217470          
670       0.00051039        224115.00       224115       224115          
680       0.00054625        230860.00       230860       230860          
690       0.00054193        237705.00       237705       237705          
700       0.00055388        244650.00       244650       244650          
710       0.00057551        251695.00       251695       251695          
720       0.00064577        258840.00       258840       258840          
730       0.00060431        266085.00       266085       266085          
740       0.00061837        273430.00       273430       273430          
750       0.00063547        280875.00       280875       280875          
760       0.00067978        288420.00       288420       288420          
770       0.00067935        296065.00       296065       296065          
780       0.00069037        303810.00       303810       303810          
790       0.00070737        311655.00       311655       311655          
800       0.00071946        319600.00       319600       319600          
810       0.00074365        327645.00       327645       327645          
820       0.00076216        335790.00       335790       335790          
830       0.00080277        344035.00       344035       344035          
840       0.00081973        352380.00       352380       352380          
850       0.00082170        360825.00       360825       360825          
860       0.00084015        369370.00       369370       369370          
870       0.00085982        378015.00       378015       378015          
880       0.00087727        386760.00       386760       386760          
890       0.00088806        395605.00       395605       395605          
900       0.00100638        404550.00       404550       404550          
910       0.00093398        413595.00       413595       413595          
920       0.00094951        422740.00       422740       422740          
930       0.00098214        431985.00       431985       431985          
940       0.00097411        441330.00       441330       441330          
950       0.00100862        450775.00       450775       450775          
960       0.00102794        460320.00       460320       460320          
970       0.00105903        469965.00       469965       469965          
980       0.00107269        479710.00       479710       479710          
990       0.00110731        489555.00       489555       489555          
1000      0.00116179        499500.00       499500       499500          
1010      0.00114356        509545.00       509545       509545          
1020      0.00115730        519690.00       519690       519690          
1030      0.00119272        529935.00       529935       529935          
1040      0.00120689        540280.00       540280       540280          
1050      0.00123847        550725.00       550725       550725          
1060      0.00126192        561270.00       561270       561270          
1070      0.00128649        571915.00       571915       571915          
1080      0.00134459        582660.00       582660       582660          
1090      0.00134897        593505.00       593505       593505          
1100      0.00137264        604450.00       604450       604450          
1110      0.00139714        615495.00       615495       615495          
1120      0.00156144        626640.00       626640       626640          
1130      0.00143010        637885.00       637885       637885          
1140      0.00146317        649230.00       649230       649230          
1150      0.00150461        660675.00       660675       660675          
1160      0.00152677        672220.00       672220       672220          
1170      0.00155107        683865.00       683865       683865          
1180      0.00155765        695610.00       695610       695610          
1190      0.00158494        707455.00       707455       707455          
1200      0.00161630        719400.00       719400       719400          
1210      0.00164363        731445.00       731445       731445          
1220      0.00170487        743590.00       743590       743590          
1230      0.00171849        755835.00       755835       755835          
