N         Time(s)           OB_avg          OB_max       OB_min
100       0.00000525        691.33          746          647             
200       0.00001161        1617.74         1799         1527            
300       0.00001925        2631.57         2952         2451            
400       0.00002638        3704.42         4275         3487            
500       0.00003429        4794.57         5224         4538            
600       0.00003841        5961.36         7155         5612            
700       0.00004644        7149.13         7938         6776            
800       0.00005936        8341.50         9176         7922            
900       0.00006376        9620.94         11059        9066            
1000      0.00007233        10765.73        11649        10173           
1100      0.00007809        12064.84        12976        11374           
1200      0.00008847        13355.29        15050        12685           
1300      0.00009466        14612.51        15626        13920           
1400      0.00011032        15928.08        17430        15154           
1500      0.00011247        17298.41        18894        16252           
1600      0.00012047        18594.77        20634        17639           
1700      0.00012837        19853.61        21737        19045           
1800      0.00013795        21330.53        24034        20131           
1900      0.00014708        22596.67        25062        21418           
2000      0.00015589        23913.65        26413        22753           
2100      0.00016548        25340.84        27338        24286           
2200      0.00017354        26756.15        30632        25386           
2300      0.00018221        28056.92        30653        26724           
2400      0.00019048        29666.49        31970        28130           
2500      0.00019817        30846.51        33552        29424           
2600      0.00020740        32366.46        35970        30779           
2700      0.00021518        33748.51        36875        32032           
2800      0.00022617        35361.48        38546        33873           
2900      0.00023445        36814.39        40113        35118           
3000      0.00024638        38134.57        42821        36303           
3100      0.00025189        39453.73        42912        37808           
3200      0.00026537        40974.77        44381        38788           
3300      0.00028799        42267.88        44923        40447           
3400      0.00030114        43857.02        47118        41660           
3500      0.00029038        45191.49        50242        43365           
3600      0.00029933        46847.93        50910        45080           
3700      0.00030826        48239.47        53480        45681           
3800      0.00032526        49574.37        53507        47309           
3900      0.00032448        51290.03        55787        48699           
4000      0.00033505        52703.72        56214        50658           
4100      0.00035189        54043.25        58683        51875           
4200      0.00035322        55879.19        62770        53269           
4300      0.00036428        57358.52        62785        54724           
4400      0.00037549        58797.66        63628        56395           
4500      0.00038971        60253.66        65302        57619           
4600      0.00040820        61652.42        67088        58629           
4700      0.00040741        62947.68        66732        60225           
4800      0.00041683        64769.06        73623        61822           
4900      0.00042489        66532.71        73357        62970           
5000      0.00043503        67929.62        72255        64989           
5100      0.00048029        69276.84        76192        65685           
5200      0.00047466        70710.93        76591        67417           
5300      0.00067487        72350.09        80017        69537           
5400      0.00046302        74044.74        80747        71341           
5500      0.00048498        75370.24        84773        72451           
5600      0.00048062        77164.12        81861        73540           
